id,embedding,reduced_embedding
1927,"[-2.04840279  0.29610205 -4.75702667  2.74638844  0.41101456 -1.03791666
  2.30177498  1.34581459 -4.10475731 -0.45421419 -0.4831849  -1.15747619
 -4.69690609 -0.15904763 -1.23750412  0.45955426]",[-13.548467    3.1726668]
2237,"[-1.311373    0.23273066 -3.61442566  3.06883264 -0.69519931 -1.41725886
  3.155725   -0.8513394  -2.54225039  1.05992758 -1.51715612 -0.92652947
 -2.77835345  0.56635261 -1.96714759 -0.7922104 ]",[  1.704581 -15.367824]
1728,"[-1.68021739 -3.77747011 -3.95522523  2.61608815  0.38145241 -0.13859591
  2.72490048 -1.18894947 -0.67192972 -1.13439751 -2.32880259 -3.32019615
 -2.5661459  -1.29086471 -3.56546664 -1.47291195]",[13.58462  33.776207]
2071,"[-1.73240471  0.10164053 -2.99565125  2.90636563  1.325477   -1.85259354
  3.28439736 -3.64422917 -2.18176842  1.86715794 -2.60525012  0.91675228
 -2.33614206  1.28117788 -2.8056314  -0.34578881]",[10.690695 -8.033519]
1924,"[-2.50739026  1.12895954 -2.80967188  2.37508321  1.20608425 -0.98681742
  2.657408    0.49573338 -2.66668439  0.61094308  0.22732709 -2.41242528
 -5.04176092  0.54225653 -1.96434534  0.97065651]",[-17.644428   -1.1531687]
1718,"[-1.83959067 -0.50405991 -3.07326412  2.47036386  1.15022218 -1.85666406
  3.80373287 -3.43300557 -2.19034266  2.30229473 -2.13331151  1.34226406
 -2.61794662  1.6521852  -2.89033556 -0.14960985]",[10.569122 -8.35816 ]
1665,"[-1.30419028 -1.51671576 -3.85638905  2.68206096  0.69957465 -0.49040624
  2.8621943  -0.287723   -2.69347095 -0.33279178 -0.86836243 -1.69714975
 -4.46334219  0.08525778 -0.4585008   0.50586945]",[-5.523121  -1.3016748]
1835,"[-0.81887937 -1.49370873 -3.38544655  2.90314174  1.70699537 -1.02539825
  2.64440155 -2.19032049 -2.68869066  0.09601621 -1.02935266 -0.75064474
 -4.86359072  0.35939348 -0.72983378  1.06984091]",[-4.454314  -4.0716267]
2249,"[-1.16278863 -1.97435117 -1.85233521  3.42025542  0.77208883 -1.37213755
  4.24420881 -0.75341147 -1.57489097  1.61763525 -1.54626954 -1.23782229
 -3.65259671  0.70848548 -1.03291118  0.01972959]",[ -1.8594825 -12.086498 ]
1922,"[-2.28420234 -0.01871766 -4.54622364  2.7789371  -0.19292341 -1.48844862
  2.84374142  1.26743567 -3.44705081 -0.49242103 -0.87109941 -1.18454289
 -4.32121468 -0.27943331 -1.16325903  0.10061225]",[-13.1959095   4.4225345]
1737,"[-2.55650353 -1.60961497 -3.47699308  2.56791258  1.21659935 -0.06318792
  2.44638038  0.15421602 -1.59688866 -2.35346675 -2.28328371 -1.86436903
 -4.35159969  0.22968671 -2.5943861  -0.47212178]",[ 4.0978146 26.783676 ]
1727,"[-2.33486199 -1.91109574 -2.13514924  2.70002723  2.15300441 -1.24999046
  3.50891042 -3.69901252 -1.5248661   0.87899101 -2.34072852 -0.85416931
 -3.38750124  1.61094046 -2.59577799  0.10567762]",[ 7.205828  -4.2639904]
1970,"[-1.93524611 -3.09910655 -3.39528894  2.43053007 -0.12390586  0.25854453
  3.18457365 -1.06085706 -0.43500015 -0.82262242 -2.21762586 -3.45108891
 -2.45165396 -1.08856761 -4.84167433 -1.91380632]",[11.863987 31.606316]
